name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
rev5,0,failed,6aa64f11a7f535324660bec1,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
rev20,0,failed,6aa64f15a7f535324660bec7,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
bias20,0,failed,6aa64f1a5d52c44d2f55c6f7,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
small_rev10,0,failed,6aa64f1ed5536b11c13ee2bb,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
low_amount,0,failed,6aa64f22d5536b11c13ee2bf,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
low_price,0,failed,6aa64f268b01f62dc51464a5,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
low_vol,0,failed,6aa64f2aa7f535324660bedb,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
low_turnover,0,failed,6aa64f2ed5536b11c13ee2c7,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
vol_surge,0,failed,6aa64f32d5536b11c13ee2cc,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
corr_pv,0,failed,6aa64f35d5536b11c13ee2ce,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
value_bm,1,failed,6aa64f396df2a192a47e811a,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
low_pb,0,failed,6aa64f3d3e7967143f8fb208,,,,,,,,,,,,,,,run: 因子分析执行失败（无详细错误信息）
