name,direction,status,factor_id,run_id,rank_ic,ic_mean,ic_ir,ic_p_value,monotonicity,long_excess_pct,turnover_pct,annual_cost_pct,net_excess_pct,long_sharpe,long_max_drawdown_pct,long_monthly_win_rate_pct,raw_result,error
rev5,0,completed,6aa64e195d52c44d2f55c6b5,6aa64e1ad5536b11c13ee27b,-0.0515,-0.0452,-0.4079,0.1016,0.69,16.17,73.93,37.26072,-21.090719999999997,3.061,7.72,66.67,candidates_probe.results\6aa64e1ad5536b11c13ee27b.json,
rev20,0,completed,6aa64e2c3e7967143f8fb1e4,6aa64e2dd5536b11c13ee282,-0.0731,-0.0421,-0.2939,0.2292,0.72,14.5,43.63,21.989520000000002,-7.489520000000002,2.9837,6.81,66.67,candidates_probe.results\6aa64e2dd5536b11c13ee282.json,
bias20,0,completed,6aa64e3f5d52c44d2f55c6c4,6aa64e418b01f62dc5146481,-0.0740,-0.0514,-0.4487,0.0740,0.75,16.83,43.27,21.80808,-4.978080000000002,3.0207,7.17,66.67,candidates_probe.results\6aa64e418b01f62dc5146481.json,
small_rev10,0,completed,6aa64e52a7f535324660be4d,6aa64e545d52c44d2f55c6c9,-0.0514,-0.0378,-0.4578,0.0688,0.68,15.77,54.19,27.31176,-11.54176,3.1318,6.64,66.67,candidates_probe.results\6aa64e545d52c44d2f55c6c9.json,
low_amount,0,completed,6aa64e655d52c44d2f55c6d0,6aa64e675d52c44d2f55c6d1,-0.0972,-0.0467,-0.4015,0.1067,0.97,21.88,30.63,15.43752,6.44248,5.2836,3.11,100.0,candidates_probe.results\6aa64e675d52c44d2f55c6d1.json,
low_price,0,completed,6aa64e796df2a192a47e810a,6aa64e7b8b01f62dc5146492,-0.0242,-0.0180,-0.2635,0.2789,0.30,-10.76,2.9,1.4615999999999998,-12.221599999999999,3.1598,2.83,100.0,candidates_probe.results\6aa64e7b8b01f62dc5146492.json,
low_vol,0,completed,6aa64e8aa7f535324660be5d,6aa64e8b6df2a192a47e810c,-0.0324,-0.0047,-0.0236,0.9212,0.23,-32.94,16.06,8.09424,-41.03424,2.9557,1.95,100.0,candidates_probe.results\6aa64e8b6df2a192a47e810c.json,
low_turnover,0,completed,6aa64e9da7f535324660be60,6aa64e9f8b01f62dc514649d,-0.0347,-0.0318,-0.1910,0.4287,0.12,-22.29,26.63,13.421520000000001,-35.71152,4.3332,1.77,100.0,candidates_probe.results\6aa64e9f8b01f62dc514649d.json,
vol_surge,0,completed,6aa64eb1d5536b11c13ee2a5,6aa64eb2a7f535324660be6e,-0.0434,-0.0370,-0.3490,0.1568,0.86,11.09,61.86,31.17744,-20.08744,3.3252,5.55,66.67,candidates_probe.results\6aa64eb2a7f535324660be6e.json,
corr_pv,0,completed,6aa64ec4a7f535324660be7a,6aa64ec5a7f535324660be80,-0.0248,-0.0011,-0.0126,0.9575,0.23,0.85,36.94,18.61776,-17.76776,4.4394,2.86,100.0,candidates_probe.results\6aa64ec5a7f535324660be80.json,
value_bm,1,completed,6aa64edaa7f535324660be8b,6aa64edba7f535324660be8d,0.0170,-0.0166,-0.1542,0.5216,0.25,-25.58,3.09,1.55736,-27.137359999999997,2.522,2.44,100.0,candidates_probe.results\6aa64edba7f535324660be8d.json,
low_pb,0,completed,6aa64eeba7f535324660be9f,6aa64eeca7f535324660bea1,-0.0153,-0.0088,-0.1175,0.6242,0.34,-25.42,2.92,1.47168,-26.89168,2.6036,2.41,100.0,candidates_probe.results\6aa64eeca7f535324660bea1.json,
